StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent form ,pid ,age ,gender ,residence ,citizen ,marital_status ,income ,education ,race ,politic_aff ,hhsize ,life_ladder ,personal_threshold,others_average ,similar_average ,poor_focused ,confidence ,redis_tax _1,redis_tax _2,redis_tax _3,bonus _1,bonus _2,bonus _3,bonus _4,Q15,PROLIFIC_PID,Othersbelief_DO
27/7/25 23:10,27/7/25 23:13,IP Address,24.92.36.242,100,178,TRUE,27/7/25 23:13,R_3JqqIKzP5EQtfl3,,,,,42.9968,-78.1888,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5cd6c1197b871a0001b13589,64,Female,Yes,Yes,Married,"$1,000–$1,666/month",High school graduate or GED equivalent,White/Caucasian,Lean Republican,3,9,2000,3000,3000,2000,Moderately confident,10 - Completely supportive,0 - Not at all supportive,10 - Completely supportive,2,0,0,8,Thailand,5cd6c1197b871a0001b13589,others_average |similar_average |poor_focused 
27/7/25 23:10,27/7/25 23:13,IP Address,184.15.71.157,100,173,TRUE,27/7/25 23:13,R_7qaDy2h13Hu7hlV,,,,,38.6765,-81.6601,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5c3b70640eaa0100018ea877,60,Male,Yes,Yes,Single,"$1,667–$2,499/month",Completed undergraduate,White/Caucasian,Strong Democrat,1,3,3000,4000,4000,3000,Slightly confident,10 - Completely supportive,3,9,3,0,0,7,Thailand,5c3b70640eaa0100018ea877,similar_average |others_average |poor_focused 
27/7/25 23:10,27/7/25 23:13,IP Address,149.76.142.77,100,179,TRUE,27/7/25 23:13,R_3LCjULOOxkaWoF3,,,,,34.4933,-92.5896,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5af1c4dfaec2b600010a96c9,56,Female,Yes,Yes,Married,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Independent,2,8,1500,5500,3000,5000,Slightly confident,0 - Not at all supportive,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,5af1c4dfaec2b600010a96c9,poor_focused |others_average |similar_average 
27/7/25 23:11,27/7/25 23:14,IP Address,174.192.131.118,100,171,TRUE,27/7/25 23:14,R_1pKEPhyckC2Dugh,,,,,42.0309,-88.1178,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5f0632802b566a17e81a5f5f,55,Female,Yes,Yes,Married,"$1,000–$1,666/month",Other,White/Caucasian,Strong Republican,2,7,5000,5000,5000,5000,Moderately confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,0,5,Thailand,5f0632802b566a17e81a5f5f,poor_focused |others_average |similar_average 
27/7/25 23:12,27/7/25 23:14,IP Address,172.56.50.116,100,103,TRUE,27/7/25 23:14,R_1QneOPCraPo2a3V,,,,,47.6109,-122.3303,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62f58a7129fb13cf46a08ae0,32,Male,Yes,Yes,Single,"Less than $1,000/month",High school graduate or GED equivalent,White/Caucasian,Independent,3,6,10000,30000,10000,50000,Slightly confident,10 - Completely supportive,Don't know/prefer not to answer,10 - Completely supportive,0,0,0,10,Thailand,62f58a7129fb13cf46a08ae0,similar_average |poor_focused |others_average 
27/7/25 23:10,27/7/25 23:14,IP Address,174.50.218.136,100,223,TRUE,27/7/25 23:14,R_6b4eSiHx8ivPRMf,,,,,36.3066,-86.6101,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",600c167e28de48080e812884,58,Male,Yes,Yes,Divorced,"$3,334–$4,166/month",Completed undergraduate,White/Caucasian,Strong Republican,1,5,10000,6000,10000,5000,Not at all confident,0 - Not at all supportive,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,600c167e28de48080e812884,similar_average |poor_focused |others_average 
27/7/25 23:11,27/7/25 23:14,IP Address,173.89.11.208,100,183,TRUE,27/7/25 23:14,R_6wAAtH7yCtCRCLK,,,,,43.014,-88.2783,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6334b0fc574064de4e68f578,64,Female,Yes,Yes,Widowed,"$3,334–$4,166/month",Some undergraduate,White/Caucasian,Strong Republican,1,1,6000,8000,6000,5000,Moderately confident,0 - Not at all supportive,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,6334b0fc574064de4e68f578,similar_average |others_average |poor_focused 
27/7/25 23:10,27/7/25 23:14,IP Address,65.130.10.33,100,223,TRUE,27/7/25 23:14,R_3mWeaoWCM4YqAp4,,,,,40.5582,-111.9222,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",673d23b251f56d0010aa50ee,60,Male,Yes,Yes,Cohabiting,"$6,667–$7,499/month",Completed undergraduate,White/Caucasian,Strong Democrat,2,8,9000,10000,10000,5000,Moderately confident,10 - Completely supportive,9,10 - Completely supportive,0,0,0,10,Thailand,673d23b251f56d0010aa50ee,similar_average |poor_focused |others_average 
27/7/25 23:11,27/7/25 23:15,IP Address,216.227.106.190,100,226,TRUE,27/7/25 23:15,R_37pMEHJlGetNdib,,,,,46.942,-122.606,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5c1021a547d07800011a23de,67,Female,Yes,Yes,Married,"$4,167–$4,999/month",High school graduate or GED equivalent,White/Caucasian,Lean Republican,2,8,3000,5000,4000,3000,Slightly confident,1,0 - Not at all supportive,0 - Not at all supportive,2,0,0,8,Thailand,5c1021a547d07800011a23de,others_average |poor_focused |similar_average 
27/7/25 23:11,27/7/25 23:15,IP Address,24.230.43.27,100,196,TRUE,27/7/25 23:15,R_3cbimTsiiyPuFf2,,,,,46.8393,-100.782,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5f85f217f845b10f388f2ce7,54,Female,Yes,Yes,Single,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Independent,3,3,2500,3000,4000,3500,Slightly confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,0,5,Thailand,5f85f217f845b10f388f2ce7,similar_average |others_average |poor_focused 
27/7/25 23:11,27/7/25 23:15,IP Address,173.66.21.119,100,228,TRUE,27/7/25 23:15,R_6uvxdsfvhjXqNgK,,,,,38.9064,-77.1278,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",63b0953847122ffebd8a5991,61,Female,Yes,Yes,Divorced,"$7,500–$8,333/month",Completed undergraduate,White/Caucasian,Lean Democrat,1,7,8000,7000,10000,5000,Slightly confident,10 - Completely supportive,9,10 - Completely supportive,6,0,0,4,Thailand,63b0953847122ffebd8a5991,others_average |poor_focused |similar_average 
