StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RelevantIDDuplicate,Q_DuplicateRespondent,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form ,pid ,age ,gender ,residence ,citizen ,marital_status ,income ,education ,race ,politic_aff ,hhsize ,life_ladder_pre ,personal_threshold,others_average ,similar_average ,poor_focused ,confidence ,life_ladder_post ,redis_tax _1,redis_tax _2,redis_tax _3,bonus _1,bonus _2,bonus _3,bonus _4,Q15,PROLIFIC_PID,actual_average,actual_poor,treatment,Othersbelief_DO
30/7/25 0:13,30/7/25 0:21,IP Address,107.221.72.114,100,430,TRUE,30/7/25 0:21,R_12WcumJy1s1hhFn,,,,,33.9339,-117.8854,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",667f8a768415858efef4a729,49,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,Asian,Strong Democrat,3,4,13500,18000,17000,10000,Moderately confident,4,10 - Completely supportive,3,7,4,5,0,1,Thailand,667f8a768415858efef4a729,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
30/7/25 0:22,30/7/25 0:32,IP Address,73.171.167.142,100,581,TRUE,30/7/25 0:32,R_5a8P9YztQtvG01a,,,,,30.1223,-81.3627,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5d8a1d20d1afcb0019d7390b,74,Male,Yes,Yes,Married,"$5,000–$5,833/month",Completed graduate (Master’s or PhD),White/Caucasian,Strong Republican,2,8,8000,8000,8000,5000,Moderately confident,6,3,2,3,2,0,3,5,Thailand,5d8a1d20d1afcb0019d7390b,13592.22,8832.47,Normcorrection-control_p,similar_average |poor_focused |others_average 
30/7/25 0:56,30/7/25 0:58,IP Address,70.59.137.18,100,111,TRUE,30/7/25 0:58,R_5YqVEw5Itqmu6hq,,,,,45.461,-122.7052,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65ccfdf16bdcab83d5bd1163,51,Female,Yes,Yes,Married,"$6,667–$7,499/month",Completed graduate (Master’s or PhD),White/Caucasian,Independent,3,7,15000,10000,7000,5000,Moderately confident,7,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,10,0,0,0,Thailand,65ccfdf16bdcab83d5bd1163,13592.22,8832.47,Normcorrection-lowincome,similar_average |poor_focused |others_average 
30/7/25 0:56,30/7/25 1:00,IP Address,69.137.207.70,100,234,TRUE,30/7/25 1:00,R_64pNzlHpiTCB5K1,,,,,26.3304,-81.5871,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",674dd9ec044cab2778ab680f,23,Female,Yes,Yes,Single,"$7,500–$8,333/month",Completed undergraduate,White/Caucasian,Independent,3,5,5000,5500,5500,5000,Not at all confident,5,5,5,5,3,2,2,3,Thailand,674dd9ec044cab2778ab680f,13592.22,8832.47,Normcorrection-average,similar_average |poor_focused |others_average 
30/7/25 0:58,30/7/25 1:00,IP Address,47.35.160.98,100,149,TRUE,30/7/25 1:00,R_6n7TJoQlnOHaIRR,,,,,42.9697,-90.1369,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",671a6d57cb932ed4526d42df,23,Female,Yes,Yes,Cohabiting,"$2,500–$3,333/month",High school graduate or GED equivalent,White/Caucasian,Lean Democrat,2,8,3000,3000,3500,3000,Slightly confident,8,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,2,0,3,Thailand,671a6d57cb932ed4526d42df,13592.22,8832.47,Normcorrection-control_p,poor_focused |others_average |similar_average 
30/7/25 0:57,30/7/25 1:01,IP Address,73.225.181.98,100,231,TRUE,30/7/25 1:01,R_1NzhviYe53wqTUl,,,,,47.1691,-122.5065,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",60fef46ad3fef7593e28ead4,26,Female,Yes,Yes,Married,"$4,167–$4,999/month",Some undergraduate,"White/Caucasian,Hispanic/Latinx",Independent,3,9,10000,10000,10000,6000,Slightly confident,9,6,6,6,0,0,0,10,Thailand,60fef46ad3fef7593e28ead4,13592.22,8832.47,Normcorrection-control_a,others_average |poor_focused |similar_average 
30/7/25 0:58,30/7/25 1:02,IP Address,67.242.2.247,100,244,TRUE,30/7/25 1:02,R_5tritjF5vAk0nPz,,,,,43.0235,-76.0126,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5749537f5e5491000f3c1e33,35,Male,Yes,Yes,Cohabiting,"$6,667–$7,499/month",Some undergraduate,White/Caucasian,Strong Democrat,2,8,2000,1000,3000,1000,Slightly confident,8,10 - Completely supportive,10 - Completely supportive,0 - Not at all supportive,0,0,0,10,Thailand,5749537f5e5491000f3c1e33,13592.22,8832.47,Normcorrection-control_a,others_average |poor_focused |similar_average 
30/7/25 1:00,30/7/25 1:02,IP Address,155.190.19.4,100,132,TRUE,30/7/25 1:02,R_71VgtNW2vkvr48V,,,,,40.8055,-73.931,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",612954380888e9ddd6ff0c6e,27,Non-binary / third gender,Yes,Yes,Cohabiting,"$6,667–$7,499/month",Completed graduate (Master’s or PhD),White/Caucasian,Strong Democrat,2,8,10000,8000,10000,4000,Moderately confident,7,10 - Completely supportive,7,10 - Completely supportive,0,0,0,10,Thailand,612954380888e9ddd6ff0c6e,13592.22,8832.47,Normcorrection-lowincome,poor_focused |others_average |similar_average 
30/7/25 1:00,30/7/25 1:03,IP Address,216.169.12.42,100,201,TRUE,30/7/25 1:03,R_67oKA1MlnWIQ5qh,,,,,40.1016,-88.2822,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5d1595d71ae42000191bc23c,49,Female,Yes,Yes,Single,"$3,334–$4,166/month",Completed undergraduate,White/Caucasian,Strong Republican,1,7,8000,10000,8000,6000,Slightly confident,7,4,0 - Not at all supportive,4,0,0,0,10,Thailand,5d1595d71ae42000191bc23c,13592.22,8832.47,Normcorrection-average,poor_focused |others_average |similar_average 
30/7/25 1:00,30/7/25 1:03,IP Address,174.75.26.248,100,186,TRUE,30/7/25 1:03,R_5rUepX46lDCqnhD,,,,,41.2884,-95.9972,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66d7b253c64eb18aa549d79c,57,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,"White/Caucasian,Black/African,Native American",Strong Republican,2,7,5000,5000,10000,5000,Not at all confident,7,Don't know/prefer not to answer,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,66d7b253c64eb18aa549d79c,13592.22,8832.47,Normcorrection-average,poor_focused |others_average |similar_average 
30/7/25 1:00,30/7/25 1:03,IP Address,68.117.247.223,100,160,TRUE,30/7/25 1:03,R_5oGNxpDPJg8uM2Q,,,,,33.3992,-87.5599,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",60aeb7d229d7c68c0b7c03d2,35,Non-binary / third gender,Yes,Yes,Married,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Strong Democrat,3,3,4000,7000,5000,4000,Slightly confident,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,0,5,Thailand,60aeb7d229d7c68c0b7c03d2,13592.22,8832.47,Normcorrection-control_p,similar_average |poor_focused |others_average 
