StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RelevantIDDuplicate,Q_DuplicateRespondent,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form ,pid ,age ,gender ,residence ,citizen ,marital_status ,income ,education ,race ,politic_aff ,hhsize ,life_ladder_pre ,personal_thresh_pre,others_average_pre ,similar_average_pre ,poor_focused_pre ,confidence_pre ,Ncorrect_a_believe ,Ncorrect_a_similar ,Ncorrect_p_believe ,Ncorrect_p_similar ,life_ladder_post ,redis_tax _1,redis_tax _2,redis_tax _3,bonus _1,bonus _2,bonus _3,bonus _4,Deservingness _1,Deservingness _2,Deservingness _3,income_thresh_post ,others_average_post ,similar_average_pos ,poor_focus_post ,confidence_post ,Comprehension check ,Q15,PROLIFIC_PID,actual_average,actual_poor,treatment,Othersbeliefpre_DO,Othersbelief-post_DO
1/8/25 17:46,1/8/25 17:51,IP Address,137.118.100.103,100,280,TRUE,1/8/25 17:51,R_6HoHbuqVfOUzYbg,,,,,35.6104,-76.8613,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",610e97f2daaed7842b3c929f,42,Female,Yes,Yes,Married,"$3,334–$4,166/month",Some undergraduate,White/Caucasian,Strong Republican,6,6,15000,10000,6000,4000,Moderately confident,Somewhat believable,Very relevant,,,6,7,0 - Not at all supportive,2,0,0,0,10,Agree,Disagree,Somewhat agree,17000,14000,8000,3000,Slightly confident,"In fact, we found that 85% of the people we surveyed underestimated the amount of income other Americans actually need to feel highly satisfied with their lives.",Thailand,610e97f2daaed7842b3c929f,13592.22,8832.47,Normcorrection-average,similar_average_pre |others_average_pre |poor_focused_pre ,others_average_post |similar_average_pos |poor_focus_post 
1/8/25 17:46,1/8/25 17:53,IP Address,172.56.221.234,100,391,TRUE,1/8/25 17:53,R_6IXH4qPFe62BohH,,,,,39.9943,-75.1181,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5bdde4b710eb730001207809,41,Female,Yes,Yes,Divorced,"$3,334–$4,166/month",Completed graduate (Master’s or PhD),White/Caucasian,Independent,1,3,8000,10000,6000,5000,Slightly confident,,,,,5,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,1,0,0,9,Strongly agree,Strongly disagree,Disagree,8000,10000,7000,5000,Slightly confident,,Thailand,5bdde4b710eb730001207809,13592.22,8832.47,Normcorrection-control_a,poor_focused_pre |similar_average_pre |others_average_pre ,poor_focus_post |similar_average_pos |others_average_post 
1/8/25 17:45,1/8/25 17:53,IP Address,113.20.53.99,100,433,TRUE,1/8/25 17:53,R_6ylONivYy7GXDzj,,,,,39.0814,-77.6443,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",67d9b887153011f49e8a5f3f,28,Male,Yes,Yes,Married,"$12,500/month or more",Completed graduate (Master’s or PhD),White/Caucasian,Lean Democrat,4,8,35000,10000,20000,6000,Moderately confident,,,,,8,5,0 - Not at all supportive,6,0,0,0,10,Strongly agree,Neither agree nor disagree,Strongly disagree,30000,15000,30000,10000,Moderately confident,,Thailand,67d9b887153011f49e8a5f3f,13592.22,8832.47,Normcorrection-control_p,others_average_pre |poor_focused_pre |similar_average_pre ,poor_focus_post |similar_average_pos |others_average_post 
1/8/25 17:45,1/8/25 17:53,IP Address,24.163.31.61,100,454,TRUE,1/8/25 17:53,R_6wAbx1eVXU2EEP1,,,,,36.0326,-80.3911,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",653b00b25d4734b333b03fc9,67,Male,Yes,Yes,Married,"$3,334–$4,166/month",Completed undergraduate,White/Caucasian,Independent,2,9,3500,4500,4500,3000,Slightly confident,,,Somewhat believable,Moderately relevant,9,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,0,5,Agree,Strongly agree,Disagree,3500,4500,4500,3500,Slightly confident,"In fact, we found that 86% of the people we surveyed underestimated the amount of income people from low-income families actually need to feel highly satisfied with their lives.",Thailand,653b00b25d4734b333b03fc9,13592.22,8832.47,Normcorrection-lowincome,poor_focused_pre |similar_average_pre |others_average_pre ,poor_focus_post |others_average_post |similar_average_pos 
1/8/25 17:50,1/8/25 17:54,IP Address,24.101.224.11,100,232,TRUE,1/8/25 17:54,R_6Vf1MMpdyQQN6bo,,,,,40.0947,-79.5898,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5a0c63e15d06850001affd96,41,Male,Yes,Yes,Single,"$2,500–$3,333/month",Completed graduate (Master’s or PhD),White/Caucasian,Strong Democrat,1,3,5500,7500,6000,3500,Slightly confident,,,,,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,0,0,0,10,Agree,Agree,Somewhat agree,5000,6000,6000,3500,Not at all confident,,Thailand,5a0c63e15d06850001affd96,13592.22,8832.47,Normcorrection-control_p,others_average_pre |similar_average_pre |poor_focused_pre ,poor_focus_post |others_average_post |similar_average_pos 
1/8/25 17:46,1/8/25 17:54,IP Address,47.224.56.201,100,449,TRUE,1/8/25 17:54,R_3Ecg58kjtrGy1zw,,,,,44.8155,-85.5803,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6384df95e98265fa8a6d5209,55,Female,Yes,Yes,Divorced,"$6,667–$7,499/month",Completed undergraduate,White/Caucasian,Strong Democrat,3,7,3000,3000,5000,3000,Slightly confident,,,Somewhat believable,Moderately relevant,7,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,3,3,0,4,Strongly agree,Strongly agree,Somewhat disagree,3000,5000,5000,5000,Slightly confident,"In fact, we found that 86% of the people we surveyed underestimated the amount of income people from low-income families actually need to feel highly satisfied with their lives.",Thailand,6384df95e98265fa8a6d5209,13592.22,8832.47,Normcorrection-lowincome,others_average_pre |poor_focused_pre |similar_average_pre ,others_average_post |similar_average_pos |poor_focus_post 
1/8/25 17:48,1/8/25 17:55,IP Address,172.56.153.142,100,424,TRUE,1/8/25 17:55,R_6D69HGPVHOUgV79,,,,,45.4752,-122.5561,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",674d1412e0b30ad8c359b635,42,Female,Yes,Yes,Married,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Strong Republican,2,8,2000,1000,2000,2500,Moderately confident,,,,,8,4,5,5,4,0,0,6,Strongly agree,Neither agree nor disagree,Strongly agree,2500,2500,2000,1000,Moderately confident,,Thailand,674d1412e0b30ad8c359b635,13592.22,8832.47,Normcorrection-control_a,others_average_pre |poor_focused_pre |similar_average_pre ,others_average_post |poor_focus_post |similar_average_pos 
1/8/25 17:50,1/8/25 17:55,IP Address,72.69.194.170,100,353,TRUE,1/8/25 17:55,R_67kYPRvIjoVaUE1,,,,,40.705,-73.9038,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5fb2041681fe9376804e1249,43,Female,Yes,Yes,Married,"$7,500–$8,333/month",Completed undergraduate,Asian,Strong Democrat,2,5,12500,10400,12500,8333,Moderately confident,Somewhat believable,Extremely relevant,,,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,3,0,0,7,Strongly agree,Strongly agree,Somewhat disagree,12500,13800,15000,9000,Slightly confident,"In fact, we found that 85% of the people we surveyed underestimated the amount of income other Americans actually need to feel highly satisfied with their lives.",Thailand,5fb2041681fe9376804e1249,13592.22,8832.47,Normcorrection-average,others_average_pre |similar_average_pre |poor_focused_pre ,others_average_post |poor_focus_post |similar_average_pos 
1/8/25 17:47,1/8/25 17:57,IP Address,72.228.40.187,100,559,TRUE,1/8/25 17:57,R_6MUSYIgfH4EGIF3,,,,,42.7836,-73.9428,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",664e835c732628231a08fff5,31,Female,Yes,Yes,Cohabiting,"$2,500–$3,333/month",Some undergraduate,White/Caucasian,Independent,3,3,4100,8000,4500,4000,Slightly confident,,,Somewhat believable,Very relevant,2,2,2,6,3,2,1,4,Strongly agree,Neither agree nor disagree,Somewhat agree,8000,9000,8000,8500,Very confident,"In fact, we found that 86% of the people we surveyed underestimated the amount of income people from low-income families actually need to feel highly satisfied with their lives.",Thailand,664e835c732628231a08fff5,13592.22,8832.47,Normcorrection-lowincome,poor_focused_pre |others_average_pre |similar_average_pre ,similar_average_pos |others_average_post |poor_focus_post 
1/8/25 17:51,1/8/25 17:57,IP Address,47.220.14.151,100,344,TRUE,1/8/25 17:57,R_5ZovY7AJoRF1rIl,,,,,32.589,-96.3089,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",678da017eecfeb40cd30b706,45,Female,Yes,Yes,Married,"$5,000–$5,833/month",Completed graduate (Master’s or PhD),White/Caucasian,Lean Republican,6,9,7500,8000,7000,5000,Slightly confident,,,,,9,4,0 - Not at all supportive,1,2,0,0,8,Disagree,Somewhat disagree,Agree,8000,6000,6000,5000,Slightly confident,,Thailand,678da017eecfeb40cd30b706,13592.22,8832.47,Normcorrection-control_p,poor_focused_pre |others_average_pre |similar_average_pre ,similar_average_pos |poor_focus_post |others_average_post 
1/8/25 17:51,1/8/25 18:00,IP Address,107.146.116.206,100,557,TRUE,1/8/25 18:00,R_3yo7BwjY3H4IWqt,,,,,29.2866,-81.0869,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62e19208352cd518d7b2f085,36,Male,Yes,Yes,Married,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Independent,3,9,2200,6000,2200,4000,Moderately confident,,,,,9,10 - Completely supportive,5,10 - Completely supportive,4,2,2,2,Somewhat agree,Strongly disagree,Agree,2200,6000,2200,4000,Moderately confident,,Thailand,62e19208352cd518d7b2f085,13592.22,8832.47,Normcorrection-control_a,poor_focused_pre |others_average_pre |similar_average_pre ,poor_focus_post |similar_average_pos |others_average_post 
